origem_latitude,origem_longitude,dest_realizado_latitude,dest_realizado_longitude,distancia_text,distancia_value,duracao_text_Google,duracao_value_Google,endereco_origem,endereco_destino
-21.286838,-46.692812,-23.922908,-46.353124,371 km,371460.0,4 hours 44 mins,17041.0,"BR-146, nº 100, Guaxupé - MG, 37800-000, Brazil","Brasil Terminal Portuário - Av. Eng. Augusto Barata, s/n - Porto Alemoa, Santos - SP, Brazil"
-29.715709,-51.111095,-28.590784,-56.030806,585 km,584624.0,7 hours 52 mins,28331.0,"Estr. Leopoldo Petri, 255 - Santo Afonso, Novo Hamburgo - RS, 93425-320, Brazil","RN121, Corrientes, Argentina"
-22.873494,-43.233163,-22.930628,-43.838309,78.4 km,78388.0,1 hour 11 mins,4277.0,"Rua Prefeito Júlio de Moraes Coutinho, 1506 - Caju, Rio de Janeiro - RJ, 20931-008, Brazil","Sepetiba Tecon - Estrada Prefeito Wilson Pedro Francisco, s/n - Ilha da Madeira, Itaguaí - RJ, 23826-600, Brazil"
-23.528605,-46.740544,-23.425529,-46.487609,38.4 km,38398.0,42 mins,2533.0,"Rua Senador Joaquim Ribeiro do Valle, 298 - Vila Leopoldina, São Paulo - SP, 05311-010, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-23.924202,-46.372288,-23.970583,-46.296805,11.8 km,11849.0,27 mins,1616.0,"R. Eustáquio Alves de Souza, 1055 - Alemoa, Santos - SP, 11095-550, Brazil","Av. Gov. Mário Covas Júnior, 1285 - Porto Macuco, Santos - SP, 11020-300, Brazil"
-25.532708,-49.174669,-23.425529,-46.487609,448 km,447543.0,5 hours 57 mins,21408.0,"Unnamed Road - Águas Belas, São José dos Pinhais - PR, 83010, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-25.532708,-49.174669,-23.008442,-47.144659,487 km,486755.0,6 hours 13 mins,22363.0,"Unnamed Road - Águas Belas, São José dos Pinhais - PR, 83010, Brazil","Av. Embarque, 290 - Jardim Chapadão, Campinas - SP, 13070-051, Brazil"
-23.262304,-45.950952,-23.425529,-46.487609,67.8 km,67755.0,1 hour 0 mins,3619.0,"Avenida Getúlio Dorneles Vargas, 3071-3091 - Chacaras Rurais Santa Maria, Jacareí - SP, 12305, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-26.904543,-48.656028,-23.928333,-46.369167,599 km,599437.0,7 hours 43 mins,27800.0,"R. Dr. Pedro Ferreira, 50 - Centro, Itajaí - SC, 88301-030, Brazil","Av. Marginal da Anchieta S/N - Chico de Paula, Santos - SP, 11095-000, Brazil"
-22.875688,-47.124929,-23.425529,-46.487609,119 km,119088.0,1 hour 32 mins,5536.0,"R. Osvaldo Blum, 75 - Parque Via Norte, Campinas - SP, 13065-710, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-23.924202,-46.372288,-23.922908,-46.353124,4.0 km,4043.0,12 mins,704.0,"R. Eustáquio Alves de Souza, 1055 - Alemoa, Santos - SP, 11095-550, Brazil","Brasil Terminal Portuário - Av. Eng. Augusto Barata, s/n - Porto Alemoa, Santos - SP, Brazil"
-22.842349,-47.150053,-23.962603,-46.297071,191 km,190593.0,2 hours 38 mins,9497.0,"Av. Comendador Aladino Selmi, 5216 - Vila San Martin, Campinas - SP, 13069-096, Brazil","Vicente de Carvalho, Guarujá - State of São Paulo, Brazil"
-23.423586,-47.35866,-23.008442,-47.144659,61.3 km,61346.0,49 mins,2933.0,"Rodovia Senador José Ermírio de Moraes, 2-132, Sorocaba - SP, Brasil, Sorocaba - SP, Brazil","Av. Embarque, 290 - Jardim Chapadão, Campinas - SP, 13070-051, Brazil"
-23.74841,-46.583398,-23.425529,-46.487609,59.5 km,59510.0,1 hour 5 mins,3887.0,"Estr. Assumpta Sabatini Rossi, 170 - Batistini, São Bernardo do Campo - SP, 09842-000, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-23.642804,-46.325548,-23.425529,-46.487609,49.8 km,49795.0,59 mins,3556.0,"R. José Augusto Dos Santos, 116 - Parque Palmeiras, Suzano - SP, 08630-565, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-23.573073,-46.604626,-23.425529,-46.487609,30.2 km,30188.0,41 mins,2457.0,"R. Guarda de Honra, 301 - Ipiranga, São Paulo - SP, 04201-070, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-29.771028,-52.420889,-32.030602,-52.094417,340 km,339869.0,4 hours 52 mins,17495.0,"RST-471 - Philip Morris - Liberdade, Santa Cruz do Sul - RS, Brazil","R. Ewbank, 35 - Centro, Rio Grande - RS, 96200-080, Brazil"
-29.715709,-51.111095,-23.928333,-46.369167,"1,140 km",1139862.0,14 hours 0 mins,50399.0,"Estr. Leopoldo Petri, 255 - Santo Afonso, Novo Hamburgo - RS, 93425-320, Brazil","Av. Marginal da Anchieta S/N - Chico de Paula, Santos - SP, 11095-000, Brazil"
-23.924202,-46.372288,-23.962603,-46.297071,11.1 km,11121.0,24 mins,1434.0,"R. Eustáquio Alves de Souza, 1055 - Alemoa, Santos - SP, 11095-550, Brazil","Vicente de Carvalho, Guarujá - State of São Paulo, Brazil"
-23.642804,-46.325548,-23.922774,-46.318757,80.6 km,80630.0,1 hour 33 mins,5554.0,"R. José Augusto Dos Santos, 116 - Parque Palmeiras, Suzano - SP, 08630-565, Brazil","Unnamed Road, Santos - SP, Brazil"
-23.052352,-45.625589,-23.425529,-46.487609,119 km,118589.0,1 hour 23 mins,4956.0,"Rod. Floriano Rodrigues Pinheiro, 581 - Jardim Santa Teresa, Taubaté - SP, 12042-000, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-25.517412,-49.321523,-23.931667,-46.365,426 km,426143.0,5 hours 33 mins,19960.0,"Rua José Rodrigues Pinheiro, 2590 - Capão Raso, Curitiba - PR, 81170-200, Brazil","Tv. São Jorge, 710 - Chico de Paula, Santos - SP, 11085-405, Brazil"
-25.517412,-49.321523,-23.928333,-46.369167,423 km,423222.0,5 hours 27 mins,19594.0,"Rua José Rodrigues Pinheiro, 2590 - Capão Raso, Curitiba - PR, 81170-200, Brazil","Av. Marginal da Anchieta S/N - Chico de Paula, Santos - SP, 11095-000, Brazil"
-23.642804,-46.325548,-23.962603,-46.297071,76.3 km,76305.0,1 hour 31 mins,5484.0,"R. José Augusto Dos Santos, 116 - Parque Palmeiras, Suzano - SP, 08630-565, Brazil","Vicente de Carvalho, Guarujá - State of São Paulo, Brazil"
-21.586401,-45.47072,-23.970583,-46.296805,390 km,389764.0,5 hours 35 mins,20092.0,"Av. José Ribeiro Tristão, 1699 - Aeroporto, Varginha - MG, 37031-075, Brazil","Av. Gov. Mário Covas Júnior, 1285 - Porto Macuco, Santos - SP, 11020-300, Brazil"
